80 2633.33 1 -19.8123 33.5271 281.371 -0.0228289 -0.141818 -0.0554643 -1.23471
81 2666.67 1 -20.1144 33.4349 281.24 -0.0238434 -0.138545 -0.0559206 -1.2324
82 2700 1 -20.0651 33.2268 281.239 -0.0270119 -0.136774 -0.0567042 -1.23087
83 2733.33 1 -19.9412 32.9906 281.156 -0.030731 -0.136389 -0.0568626 -1.22639
84 2766.67 1 -19.7963 32.7869 280.946 -0.0349038 -0.135599 -0.0572013 -1.22358
85 2800 1 -19.259 32.6447 281.453 -0.0385175 -0.134974 -0.0565425 -1.21977
86 2833.33 1 -18.5546 32.6939 281.636 -0.0382112 -0.135279 -0.0568734 -1.20567
87 2866.67 1 -17.7377 33.7104 284.066 -0.0440402 -0.133799 -0.0544789 -1.20617
88 2900 1 -16.9858 34.3918 285.429 -0.0438278 -0.13206 -0.0522587 -1.22165
89 2933.33 1 -16.3979 33.6166 284.419 -0.0474271 -0.132821 -0.0499496 -1.20677
90 2966.67 1 -15.872 32.7393 282.942 -0.0495781 -0.133713 -0.0502391 -1.19657
91 3000 1 -15.1926 32.1216 282.21 -0.0484147 -0.133958 -0.0495078 -1.18697
92 3033.33 1 -14.4655 31.9105 281.817 -0.0440076 -0.132042 -0.0490381 -1.19702
93 3066.67 1 -13.7667 31.9648 281.836 -0.0447431 -0.129534 -0.0477948 -1.20857
94 3100 1 -13.0006 31.9354 281.831 -0.045019 -0.129373 -0.047588 -1.21175
95 3133.33 1 -12.348 31.6695 281.631 -0.0464147 -0.127323 -0.0453647 -1.22072
96 3166.67 1 -11.7131 31.2639 281.542 -0.048877 -0.126994 -0.0443086 -1.21995
97 3200 1 -10.9858 31.0785 281.761 -0.0490659 -0.124357 -0.0405194 -1.21667
98 3233.33 1 -10.1203 30.7754 281.947 -0.0502682 -0.125494 -0.0355322 -1.22546
99 3266.67 1 -9.42062 30.6613 281.579 -0.048345 -0.125867 -0.0321773 -1.21404
100 3300 1 -8.67308 30.3668 281.513 -0.0504389 -0.126845 -0.030784 -1.20092
101 3333.33 1 -7.82851 30.3588 281.588 -0.0489963 -0.126956 -0.0302167 -1.19883
102 3366.67 1 -7.03312 30.3342 281.377 -0.0478561 -0.12754 -0.029744 -1.20079
103 3400 1 -6.26832 30.3495 281.333 -0.0470985 -0.126845 -0.0298644 -1.2068
104 3433.33 1 -5.71362 30.2937 281.243 -0.0441328 -0.124612 -0.0294255 -1.20124
105 3466.67 1 -5.25408 30.107 281.356 -0.0448244 -0.125436 -0.0307392 -1.20847
106 3500 1 -4.92898 29.7846 281.23 -0.0453065 -0.125366 -0.0346887 -1.22318
107 3533.33 1 -4.41997 29.796 281.338 -0.0465928 -0.124348 -0.0345679 -1.22138
