Time_s   Intensity_dB
102.184000   63.587465
102.194667   64.314901
102.205333   65.444125
102.216000   66.012728
102.226667   65.637677
102.237333   64.616305
102.248000   64.136829
102.258667   63.774748
102.269333   63.292615
102.280000   64.346472
102.290667   64.720034
102.301333   64.312335
102.312000   63.561510
102.322667   63.922125
102.333333   65.793246
102.344000   67.176783
102.354667   67.264512
102.365333   65.719844
102.376000   63.588929
102.386667   62.717656
102.397333   62.510001
102.408000   62.627561
102.418667   63.000297
102.429333   64.704068
102.440000   66.077603
102.450667   65.727845
102.461333   64.546458
102.472000   63.488791
102.482667   63.387468
102.493333   64.804150
102.504000   65.477574
102.514667   65.432789
102.525333   66.286031
102.536000   66.255199
102.546667   65.095053
102.557333   64.662816
102.568000   64.887774
102.578667   64.757396
102.589333   64.452795
102.600000   63.858071
102.610667   63.054487
102.621333   64.781757
102.632000   66.197261
102.642667   67.068878
102.653333   67.774858
102.664000   67.385675
102.674667   66.528729
102.685333   64.916349
102.696000   63.941374
102.706667   62.810514
102.717333   61.085923
102.728000   61.818121
102.738667   63.869905
102.749333   64.623692
102.760000   65.581043
102.770667   66.679098
102.781333   67.145057
102.792000   67.958197
102.802667   67.841632
102.813333   66.558511
102.824000   66.058688
102.834667   65.939315
102.845333   65.384540
102.856000   64.598275
102.866667   64.057000
102.877333   65.128486
102.888000   67.477236
102.898667   67.935882
102.909333   65.839466
102.920000   63.266312
102.930667   61.473658
102.941333   61.230301
102.952000   63.108625
102.962667   65.361285
102.973333   65.921868
102.984000   64.832232
102.994667   63.804181
103.005333   63.236076
103.016000   61.593611
103.026667   60.892681
103.037333   63.290124
103.048000   64.368807
103.058667   63.264860
103.069333   62.669949
103.080000   62.431046
103.090667   62.522339
103.101333   63.424833
103.112000   63.900023
103.122667   63.200095
103.133333   63.020113
103.144000   64.112820
103.154667   66.791455
103.165333   68.195575
103.176000   67.065776
103.186667   65.457534
103.197333   64.548738
103.208000   65.677083
103.218667   66.354256
103.229333   65.365032
103.240000   63.729874
103.250667   62.655119
103.261333   63.481585
103.272000   65.536373
103.282667   66.510317
103.293333   66.354734
103.304000   65.815405
103.314667   64.091823
103.325333   62.336531
103.336000   61.519434
103.346667   60.480790
103.357333   59.833015
103.368000   61.639594
103.378667   64.015741
103.389333   64.398831
103.400000   63.237369
103.410667   62.621899
103.421333   62.691515
103.432000   62.607075
103.442667   62.321841
103.453333   62.486756
103.464000   63.233495
103.474667   64.164287
103.485333   63.624521
103.496000   62.371900
103.506667   62.904878
103.517333   62.688273
103.528000   61.854885
103.538667   63.629035
103.549333   64.310916
103.560000   61.944653
103.570667   58.677498
103.581333   58.466920
103.592000   61.503520
103.602667   64.574563
103.613333   65.273296
103.624000   65.044002
103.634667   65.745329
103.645333   65.397824
103.656000   64.501783
103.666667   63.827910
103.677333   62.449816
103.688000   62.417209
103.698667   66.170176
103.709333   68.922466
103.720000   68.034041
103.730667   64.277518
103.741333   60.732403
103.752000   58.841234
103.762667   59.043493
103.773333   61.359511
103.784000   63.868543
103.794667   64.452436
103.805333   62.930565
103.816000   61.691398
103.826667   60.822006
103.837333   59.672825
103.848000   58.831280
103.858667   58.249741
103.869333   59.769036
103.880000   61.856084
103.890667   62.450025
103.901333   62.798993
103.912000   63.274161
103.922667   64.486557
103.933333   64.891822
103.944000   63.471443
103.954667   61.884461
103.965333   60.930570
103.976000   61.742983
103.986667   64.983169
103.997333   65.642315
104.008000   63.494105
104.018667   62.879225
104.029333   63.833964
104.040000   64.004519
104.050667   63.271128
104.061333   61.881502
104.072000   60.847274
104.082667   62.211759
104.093333   64.245597
104.104000   65.652709
104.114667   65.833172
104.125333   64.487322
104.136000   62.518623
104.146667   60.607055
104.157333   59.410984
104.168000   60.049996
104.178667   62.564596
104.189333   63.967096
104.200000   62.835772
104.210667   60.200256
