video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,199,200,1,187,199,5611,5970,0.379975,0.428961,-0.89008,0.155266,0.401321,-0.826427,174.329,16.4002,490.288,0.165417,0.504734,0.107587,1.92482,0.198271,0.552703,0.105812,961.686,390.058,2.70384,1.82424,0.80555,1.01005,0.939673,1.29706,0.561014,1.72582,2.911,1.84121,1.25754,3.15371,1.76668,1.76581,3.20807,4.69777,3.04288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975450154307,0.769188984391
AndyWoodhull,203,204,1,200,203,6001,6090,0.184084,0.391874,-0.917108,-0.0831913,0.369228,-0.839563,191.803,14.7474,478.891,0.13317,0.467316,0.0951638,1.93053,0.136779,0.526263,0.0951579,1000.81,386.591,1.41241,0.799748,0.370096,1.14504,1.5709,0.873976,0.706891,2.10856,2.74692,1.41689,0.914283,1.46641,0.527903,1.86004,3.67766,3.4507,2.01054,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.883349611331,0.694213970449
AndyWoodhull,207,208,1,204,207,6121,6210,0.438196,0.371821,-0.851732,0.249137,0.352639,-0.929979,6.85011,27.0524,473.152,0.184012,0.378745,0.151553,1.98379,0.197081,0.404269,0.152604,652.674,411.412,2.16453,1.89471,0.50715,0.646007,0.77606,1.02094,0.310692,0.66731,1.19258,0.961557,2.41465,2.00619,1.32628,1.34172,2.53096,2.97547,1.37738,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855493412156,0.759571819218
AndyWoodhull,212,213,1,208,212,6241,6360,0.108225,0.329487,-0.935436,-0.0947239,0.315088,-0.846161,158.528,13.8285,484.269,0.118998,0.262252,0.0180232,1.97381,0.147666,0.314516,0.0224274,934.994,385.301,0.72796,0.291017,0.0126592,0.422573,1.25279,0.498453,0.625813,1.50471,2.25207,1.5391,1.06846,1.72889,1.14266,0.964191,3.14255,2.74701,2.60523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.851631913481,0.683486351211
AndyWoodhull,225,230,1,213,225,6391,6750,0.413585,0.455515,-0.86429,0.161881,0.409491,-0.841481,201.959,16.0271,500.656,0.212164,0.445115,0.189896,2.0026,0.239182,0.498779,0.19733,994.211,389.788,2.82617,1.77787,0.499867,0.783177,1.82168,1.16344,1.30792,1.54768,2.88956,1.75531,1.97999,1.77058,1.01278,1.87533,3.07233,3.39314,3.19612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.963513929763,0.742142181288
AndyWoodhull,235,236,1,230,235,6901,7050,0.460906,0.404538,-0.856754,0.192665,0.365299,-0.887647,88.3716,8.80377,471.712,0.173702,0.239326,0.109844,1.96917,0.193852,0.27904,0.111587,806.832,377.598,1.47163,0.473721,0.256166,0.756354,0.432431,0.317731,0.688352,1.11005,1.65091,1.24735,0.861727,1.62511,1.06525,0.643886,2.82639,3.34689,2.73946,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971637074086,0.680605017148
AndyWoodhull,241,242,1,236,241,7081,7230,0.335905,0.383452,-0.8708,0.116943,0.389432,-0.897579,94.1731,11.6501,475.488,0.0916764,0.393935,0.121811,1.97382,0.104446,0.450412,0.121728,828.215,382.162,2.75852,1.27703,0.309884,1.85497,0.279595,2.04556,0.808069,1.4833,1.09664,1.34437,0.328814,1.80834,1.09148,2.01213,2.47536,3.18502,2.31215,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901336261291,0.746354544261
AndyWoodhull,246,247,1,242,246,7261,7380,0.247093,0.383105,-0.915105,0.0598221,0.362491,-0.890215,176.246,8.85908,488.106,0.0495182,0.461852,0.0890679,1.94435,0.0572082,0.5029,0.0884456,959.203,376.92,2.27509,0.535342,0.942657,0.759292,1.34838,1.3321,0.756313,2.31781,2.30197,2.45491,1.36629,1.70095,0.580169,2.51835,2.32615,2.65755,2.2868,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.975725614525,0.742541207533
AndyWoodhull,274,285,2,247,274,7411,8220,0.373304,0.448064,-0.881197,0.208678,0.388529,-0.839445,158.493,22.5669,476.464,0.132017,0.476811,0.182306,2.04654,0.153976,0.489735,0.187969,935.869,403.913,2.61179,2.34314,1.00052,1.24101,1.53736,2.27481,1.59466,1.91601,2.57711,1.61405,1.38791,1.84547,0.888466,2.35436,3.05639,3.81416,2.8028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.852942368575
AndyWoodhull,288,289,1,285,288,8551,8640,0.466974,0.323298,-0.852106,0.270347,0.285047,-0.935749,110.702,14.244,473.701,0.106145,-0.0314048,0.0871954,1.98902,0.110501,-0.0183308,0.0898909,849.049,388.041,0.70318,0.365138,1.42464,0.242776,1.3363,0.160919,0.154458,2.38479,2.00881,1.61799,1.43982,1.25496,1.05229,1.13417,3.64492,2.38831,1.2821,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.886890670445,0.698906651988
