video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,199,200,1,187,199,5611,5970,-0.222195,0.182135,-0.980535,-0.468791,0.185863,-0.979092,-86.9269,-11.4733,446.835,-0.241349,-0.569237,-0.243758,1.75842,-0.227757,-0.585419,-0.251799,474.401,339.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,203,204,1,200,203,6001,6090,-0.274713,0.203631,-0.966584,-0.398503,0.195983,-0.95802,39.0945,-14.3685,452.208,-0.2099,-0.3607,-0.0737042,1.82891,-0.183829,-0.344341,-0.0691983,716.045,334.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,207,208,1,204,207,6121,6210,0.0250183,0.202712,-0.954353,-0.146997,0.209773,-0.966132,-127.312,-10.8083,434.209,-0.207607,-0.252868,-0.162707,1.84382,-0.168777,-0.295549,-0.162983,396.025,339.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,212,213,1,208,212,6241,6360,-0.256699,0.170145,-0.979817,-0.490537,0.169399,-0.974832,65.1351,-11.0224,437.373,-0.144382,-0.49231,-0.234235,1.7973,-0.13971,-0.526626,-0.233678,763.037,339.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,225,230,1,213,225,6391,6750,-0.227373,0.199111,-0.979515,-0.435178,0.140971,-0.987843,-110.275,-7.76645,436.217,-0.227744,-0.565782,-0.197693,1.76203,-0.198358,-0.599902,-0.198161,432.438,344.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,235,236,1,230,235,6901,7050,-0.153013,0.188583,-0.980189,-0.31333,0.156289,-0.980976,-32.6199,-6.85987,434.513,-0.241094,-0.480189,-0.158806,1.82961,-0.221074,-0.530932,-0.165297,576.101,347.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,241,242,1,236,241,7081,7230,-0.183345,0.177935,-0.981594,-0.367125,0.191133,-0.980875,-68.8729,-15.4113,438.18,-0.324122,-0.233857,-0.0817548,1.8054,-0.310427,-0.256825,-0.0831152,507.035,331.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,246,247,1,242,246,7261,7380,-0.14834,0.219928,-0.971833,-0.345785,0.108771,-0.993567,-65.0446,-13.1742,439.41,-0.302894,-0.633909,-0.0942016,1.78875,-0.275418,-0.669985,-0.0980093,517.297,334.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,274,285,2,247,274,7411,8220,-0.181208,0.172405,-0.984579,-0.407538,0.177148,-0.97775,-160.846,-17.9005,418.078,-0.273304,-0.435157,-0.24213,1.82206,-0.241918,-0.469012,-0.243312,339.851,325.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,288,289,1,285,288,8551,8640,-0.0595579,0.157719,-0.986455,-0.246567,0.136639,-0.988097,-91.355,-5.02204,432.803,-0.120912,-0.732819,-0.127381,1.85654,-0.149251,-0.753284,-0.134057,466.732,350.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AndyWoodhull,293,294,1,289,293,8671,8790,-0.210305,0.162102,-0.977032,-0.426854,0.117008,-0.980318,-60.6766,-0.932093,435.498,-0.248431,-0.404519,-0.20256,1.83564,-0.212651,-0.416734,-0.204322,521.958,359.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,301,312,2,294,301,8821,9030,-0.300138,0.147405,-0.985047,-0.421022,0.163839,-0.974858,-85.423,-13.6686,436.046,-0.26576,-0.423051,-0.304978,1.71232,-0.305156,-0.444503,-0.31227,482.264,334.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,319,321,2,312,319,9361,9570,-0.149061,0.192333,-0.979325,-0.391047,0.179532,-0.974931,-74.4758,-0.935963,418.498,-0.29773,-0.419165,-0.221204,1.84032,-0.27332,-0.43982,-0.225873,496.816,360.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull2,2,5,1,0,2,1,60,-0.129663,0.0,-1.0,-0.367706,0.0,-1.0,0.0,-20.4015,0.0,-0.0929418,-0.730418,-0.131822,-55.6261,-53.0108,-48.5267,-41.2395,-27.2884,-10.7782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3192,-21.9112,-0.799893,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull2,26,27,1,5,26,151,780,-0.196876,0.0,-1.0,-0.417829,0.0,-1.0,-117.28,-23.347,0.0,-0.254827,-0.807786,-0.310816,-214.071,-211.478,-207.625,-201.21,-188.962,-171.181,-152.235,-160.357,-107.171,-100.972,-93.0503,-85.4501,-90.8795,-98.3878,-141.818,-128.413,-116.796,-109.385,-101.865,-91.1196,-81.462,-86.9032,-96.1603,-103.85,-110.816,-124.495,-136.511,-115.833,-108.576,-100.83,-84.8363,-98.2345,-106.176,-113.898,-56.9348,-37.5319,-18.7396,-0.19143,0.0,0.0,0.0,0.0,0.0
