video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_y,gaze_1_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU06_r,AU07_r,AU12_r,AU14_r,AU23_r,AU26_r,AU01_c,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU23_c,AU25_c,AU26_c,eyebrow_raise,frown
AndyWoodhull,199,200,1,187,199,5611,5970,0.047259806,0.054183638,78.87142297,7.14870118,9.059374834,0.088828777,0.271085148,0.086469562,0.032952639,0.087515835,0.286007525,0.087725672,147.8809481,13.19108097,0.373927212,0.266035386,0.055508903,0.218723739,0.159709524,0.800694741,0.39565405,0.268143453,1.106088867,0.269444444,0.288888889,0.122222222,0.302777778,0.341666667,0.194444444,0.355555556,0.505555556,0.377777778,0.277777778,0.05,0.488888889,0.538888889,0.110388907,0.129648182
AndyWoodhull,203,204,1,200,203,6001,6090,0.039808642,0.037034664,40.66669918,7.439892409,6.07509063,0.086326639,0.267102083,0.044927976,0.023420102,0.084131724,0.281265522,0.043961837,75.03750762,13.71872987,0.463029519,0.079159242,0.012139997,0.493611231,0.191661058,1.234157467,0.363015825,0.166042364,0.992225512,0.588888889,0.177777778,0,0.566666667,0.666666667,0.211111111,0.444444444,0.711111111,0.211111111,0.244444444,0.144444444,0.566666667,0.7,0.083526918,0.080796682
AndyWoodhull,207,208,1,204,207,6121,6210,0.040885156,0.036554424,42.55327743,11.24961753,8.830181208,0.093113127,0.230237711,0.083335904,0.033095208,0.08526041,0.242592303,0.083127623,81.37053975,21.43993703,0.770773288,0.642218284,0.059673342,0.121683962,0.181621866,0.313657439,0.155776846,0.354799209,1.431074744,0.466666667,0.311111111,0,0.077777778,0.077777778,0,0,0.322222222,0.777777778,0.922222222,0.211111111,0.4,0.6,0.045267924,0.10330133
AndyWoodhull,212,213,1,208,212,6241,6360,0.037763469,0.045157226,27.76077925,6.977495687,9.062387175,0.067146624,0.185084574,0.066661655,0.034875916,0.076009804,0.209102412,0.068101513,50.91311533,12.92766055,0.068404474,0.008496979,0.00031648,0.460907259,0.03265875,1.381088675,0.321233886,0.108847439,0.903810958,0.316666667,0.283333333,0.058333333,0.858333333,0.558333333,0.241666667,0.6,0.7,0.458333333,0.4,0.066666667,0.275,0.716666667,0.071078065,0.10599045
AndyWoodhull,225,230,1,213,225,6391,6750,0.047411348,0.042801532,69.7570831,4.814541017,10.3467705,0.07397082,0.246441203,0.061605285,0.038889448,0.072485458,0.266100424,0.062966912,129.467204,8.938115095,0.587719767,0.235826452,0.034911189,0.318442145,0.195452905,0.965288159,0.421335028,0.223512658,1.120107574,0.508333333,0.3,0.097222222,0.486111111,0.394444444,0.077777778,0.286111111,0.616666667,0.275,0.466666667,0.241666667,0.544444444,0.608333333,0.069984136,0.080257056
AndyWoodhull,235,236,1,230,235,6901,7050,0.045660408,0.044644229,39.0387925,3.711612556,8.005973716,0.103827749,0.186720465,0.074940422,0.033300688,0.109747822,0.212536725,0.077160591,74.70295414,6.881360427,0.33424799,0.020837639,0.005123317,0.074988794,0.010780789,0.789220163,0.284254199,0.033568493,1.211438067,0.52,0.153333333,0.12,0.3,0,0.04,0.233333333,0.546666667,0.313333333,0.513333333,0.113333333,0.5,0.686666667,0.059662758,0.101816191
AndyWoodhull,241,242,1,236,241,7081,7230,0.033029204,0.038476975,39.30889849,6.860793438,8.493792371,0.110753975,0.192338939,0.040352883,0.039267621,0.110353814,0.213417487,0.041755074,75.91959532,12.78902201,0.75062018,0.211213687,0.014182287,0.018448145,0.190383638,0.467903473,0.245389388,0.352835774,0.913364445,0.333333333,0.38,0.226666667,0.026666667,0.193333333,0.086666667,0.166666667,0.226666667,0.066666667,0.766666667,0.306666667,0.56,0.413333333,0.089237685,0.063713954
AndyWoodhull,246,247,1,242,246,7261,7380,0.035022902,0.041151873,63.01263186,5.471830712,12.12561189,0.073916978,0.416095094,0.046889367,0.040744413,0.068442732,0.445945341,0.047310416,115.5147952,10.35556165,0.724137628,0.046194938,0.111685724,0.516750971,0.106083968,1.300606683,0.585369005,0.640771675,0.528232602,0.633333333,0.633333333,0,0.425,0.466666667,0.683333333,0.658333333,0.775,0.166666667,0.216666667,0.233333333,0.166666667,0.4,0.103633292,0.181706095
AndyWoodhull,274,285,2,247,274,7411,8220,0.040882363,0.037152501,66.51725236,6.706692923,11.10302113,0.079511212,0.225231393,0.084664269,0.044065972,0.078431075,0.240255595,0.085241458,126.4197194,12.87503326,0.531803905,0.221109931,0.04581736,0.228960438,0.239889904,0.617088002,0.228019549,0.207024664,0.941925667,0.344444444,0.359259259,0.090123457,0.401234568,0.318518519,0.049382716,0.183950617,0.432098765,0.333333333,0.344444444,0.10617284,0.341975309,0.498765432,0.098248071,0.103151156
AndyWoodhull,288,289,1,285,288,8551,8640,0.035650975,0.036420119,54.08222379,5.108631642,10.39985172,0.056945448,0.206647978,0.05146495,0.037292253,0.070209559,0.215348981,0.053392634,103.8873487,9.892405113,0.130887234,0.014038238,0.198724276,0.496890488,0.009369584,1.163232933,0.702555409,0.215236063,0.805321136,0.344444444,0.266666667,0.166666667,0.588888889,0.255555556,0.533333333,0.633333333,0.677777778,0.444444444,0.411111111,0.055555556,0.233333333,0.488888889,0.098896804,0.216931993
